"Pending Payment","Pending Payment",module,Madkting_Connect
"Processing","Processing",module,Madkting_Connect
"Complete","Complete",module,Madkting_Connect
"Closed","Closed",module,Madkting_Connect
"Yes","Yes",module,Madkting_Connect
"No","No",module,Madkting_Connect
"Attributes","Attributes",module,Madkting_Connect
"Match - Attributes","Match - Attributes",module,Madkting_Connect
"Add Attribute","Add Attribute",module,Madkting_Connect
"Save Attribute Match","Save Attribute Match",module,Madkting_Connect
"Select attribute set to edit","Select attribute set to edit",module,Madkting_Connect
"We couldn't find any records.","We couldn't find any records.",module,Madkting_Connect
"Yuju's Attribute","Yuju's Attribute",module,Madkting_Connect
"Magento's Attribute","Magento's Attribute",module,Madkting_Connect
"Default Value","Default Value",module,Madkting_Connect
"Delete","Delete",module,Madkting_Connect
"Set as default","Set as default",module,Madkting_Connect
"Choose an option","Choose an option",module,Madkting_Connect
"It will use product stock","It will use product stock",module,Madkting_Connect
"Choose Yuju's attribute first","Choose Yuju's attribute first",module,Madkting_Connect
"Required params missing","Required params missing",module,Madkting_Connect
"Error","Error",module,Madkting_Connect
"Row %1","Row %1",module,Madkting_Connect
"Yuju's attribute missing","Yuju's attribute missing",module,Madkting_Connect
"Must provide Magento's attribute or default value at least","Must provide Magento's attribute or default value at least",module,Madkting_Connect
"Failed Petition","Failed Petition",module,Madkting_Connect
"Attribute match saved successfully","Attribute match saved successfully",module,Madkting_Connect
"Success Petition","Success Petition",module,Madkting_Connect
"Are you sure you want to delete","Are you sure you want to delete",module,Madkting_Connect
"Attribute set selected has no attribute match, so default attribute set configuration is shown as reference. <b>DO NOT FORGET TO SAVE YOUR CHANGES</b>","Attribute set selected has no attribute match, so default attribute set configuration is shown as reference. <b>DO NOT FORGET TO SAVE YOUR CHANGES</b>",module,Madkting_Connect
"Attribute Options","Attribute Options",module,Madkting_Connect
"Match - Attribute Options","Match - Attribute Options",module,Madkting_Connect
"Save Attribute Option Match","Save Attribute Option Match",module,Madkting_Connect
"Yuju's Option","Yuju's Option",module,Madkting_Connect
"Magento's Option","Magento's Option",module,Madkting_Connect
"Select Yuju's attribute","Select Yuju's attribute",module,Madkting_Connect
"Select Magento's attribute","Select Magento's attribute",module,Madkting_Connect
"There are no options to be matched.","There are no options to be matched.",module,Madkting_Connect
"No match","No match",module,Madkting_Connect
"Attribute option match saved successfully","Attribute option match saved successfully",module,Madkting_Connect
"There was an error getting Magento attributes","There was an error getting Magento attributes",module,Madkting_Connect
"Match - Categories","Match - Categories",module,Madkting_Connect
"Invalid request","Invalid request",module,Madkting_Connect
"The selected match has been successfully removed","The selected match has been successfully removed",module,Madkting_Connect
"Request invalid, please try again.","Request invalid, please try again.",module,Madkting_Connect
"The category requested does not have any match","The category requested does not have any match",module,Madkting_Connect
"All the selected categories are already matched. Please try again.","All the selected categories are already matched. Please try again.",module,Madkting_Connect
"%1 Categories successfully matched.","%1 Categories successfully matched.",module,Madkting_Connect
"Category successfully matched.","Category successfully matched.",module,Madkting_Connect
"%1 category has not been saved. This category was already matched.","%1 category has not been saved. This category was already matched.",module,Madkting_Connect
"%1 New categories successfully matched.","%1 New categories successfully matched.",module,Madkting_Connect
"1 category successfully matched.","1 category successfully matched.",module,Madkting_Connect
"%1 categories successfully disassociated.","%1 categories successfully disassociated.",module,Madkting_Connect
"1 category successfully disassociated.","1 category successfully disassociated.",module,Madkting_Connect
"Already matched","Already matched",module,Madkting_Connect
"Are you sure you wan't to delete the match for","Are you sure you wan't to delete the match for",module,Madkting_Connect
"Categories","Categories",module,Madkting_Connect
"Edit category match","Edit category match",module,Madkting_Connect
"Categories Match Fieldset","Categories Match Fieldset",module,Madkting_Connect
"If you select a category ""already matched"" that selection is going to be ignored.","If you select a category ""already matched"" that selection is going to be ignored.",module,Madkting_Connect
"Save Category Match","Save Category Match",module,Madkting_Connect
"Back","Back",module,Madkting_Connect
"Yuju category","Yuju category",module,Madkting_Connect
"Magento categories","Magento categories",module,Madkting_Connect
"New Category Match","New Category Match",module,Madkting_Connect
"Edit Category Match","Edit Category Match",module,Madkting_Connect
"Select","Select",module,Madkting_Connect
"Credit memo #%1 created.","Credit memo #%1 created.",module,Madkting_Connect
"Could not create the credit memo","Could not create the credit memo",module,Madkting_Connect
"Yuju create credit memo, error = %1","Yuju create credit memo, error = %1",module,Madkting_Connect
"Yuju create credit memo, error = this credit memo can not be refunded.","Yuju create credit memo, error = this credit memo can not be refunded.",module,Madkting_Connect
"Credit memo #%1 couldn't be refunded","Credit memo #%1 couldn't be refunded",module,Madkting_Connect
"Creating","Creating",module,Madkting_Connect
"Updating","Updating",module,Madkting_Connect
"Deleting","Deleting",module,Madkting_Connect
"Synchronized","Synchronized",module,Madkting_Connect
"Error","Error",module,Madkting_Connect
"Creating Images","Creating Images",module,Madkting_Connect
"Updating Images","Updating Images",module,Madkting_Connect
"Deleting Images","Deleting Images",module,Madkting_Connect
"Parent Error","Parent Error",module,Madkting_Connect
"System Error","System Error",module,Madkting_Connect
"Waiting","Waiting",module,Madkting_Connect
